lga,vector
Southern Mallee,"[0.0, 0.0, 0.0, 0.0, 0.16346153616905212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5769230723381042, 0.0, 0.0, 0.0, 0.25961539149284363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Southern Midlands,"[0.0, 0.5144703388214111, 0.03365190327167511, 0.0, 0.08184143155813217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10459011793136597, 0.0, 0.0, 0.13137704133987427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13406918942928314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Stirling,"[0.0, 0.0028936462476849556, 0.0049390788190066814, 0.007276084739714861, 0.0, 0.0, 0.0195310078561306, 0.04227815940976143, 0.009105046279728413, 0.04547221586108208, 0.14227020740509033, 0.0005787292611785233, 0.0, 0.051913339644670486, 0.020383639261126518, 0.0, 0.046987514942884445, 0.019522173330187798, 0.04487581551074982, 0.015926098451018333, 0.006670848932117224, 0.00015020454884506762, 0.016699211671948433, 0.05850467085838318, 0.14447468519210815, 0.0, 0.0023281704634428024, 0.0, 0.0051688035018742085, 0.008627925999462605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024783748667687178, 0.05984767526388168, 0.03403458371758461, 0.0, 0.01452566310763359, 0.013611182570457458, 0.0, 0.05068519711494446, 0.009661686606705189, 0.002690428402274847, 0.0, 0.05239487811923027, 0.0017759478650987148, 0.003335424466058612, 0.038381677120923996]"
Stonnington,"[0.0, 0.0, 0.0, 0.04338229075074196, 0.0, 0.0, 0.0, 0.0, 0.019416918978095055, 0.0, 0.02282825857400894, 0.0, 0.0, 0.0028284487780183554, 0.0, 0.0, 0.02864759974181652, 0.008150901645421982, 0.0026277818251401186, 0.0, 0.0, 2.8666710932157002e-05, 0.09361592680215836, 0.2957448959350586, 0.07847990095615387, 0.0, 0.0, 0.0, 0.0, 0.0024462260771542788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1787082850933075, 0.10510171949863434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09052947163581848, 0.0, 0.011973129585385323, 0.003344449680298567, 0.012145129963755608, 0.0]"
Strathbogie,"[0.04297037795186043, 0.2899457514286041, 0.1698790192604065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007509386632591486, 0.05139758065342903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019607843831181526, 0.08944513648748398, 0.0, 0.06366290897130966, 0.0, 0.2508135139942169, 0.0, 0.02152690850198269, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Strathfield,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008879242464900017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049592211842536926, 0.026725422590970993, 0.0, 0.0, 0.0025431904941797256, 0.008506533689796925, 0.0, 0.011115496046841145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025782689452171326, 0.18243005871772766, 0.15732702612876892, 0.010523546487092972, 0.0, 0.0, 0.085109181702137, 0.010896255262196064, 0.020893624052405357, 0.0, 0.06226431578397751, 0.03301762789487839, 0.30439358949661255, 0.0]"
Streaky Bay,"[0.10509554296731949, 0.0, 0.1068648248910904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7880396246910095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Subiaco,"[0.0, 0.0, 0.020250115543603897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055530060082674026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024782009422779083, 0.021856356412172318, 0.0, 0.0, 0.08323772251605988, 0.15047040581703186, 0.11255162954330444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4800367057323456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029027076438069344, 0.0, 0.0, 0.0, 0.022257916629314423, 0.0]"
Sunshine Coast,"[0.03900288790464401, 0.022572170943021774, 0.10985434800386429, 0.010000292211771011, 0.016973642632365227, 0.0, 0.0398026779294014, 0.03208208084106445, 0.0009515747660771012, 0.02247876487672329, 0.0016959047643467784, 0.00021892056975048035, 0.03653930500149727, 0.029373303055763245, 0.01860532909631729, 0.00959163997322321, 0.0, 0.0019031495321542025, 0.06454070657491684, 0.0, 0.15099389851093292, 0.0005516798701137304, 0.028847893700003624, 0.010893488302826881, 0.03449312597513199, 0.008330658078193665, 0.047809336334466934, 0.048171281814575195, 0.001018710434436798, 0.0, 0.013132316060364246, 0.0021016374230384827, 0.007247730623930693, 0.0, 0.0, 0.01798943430185318, 0.0, 0.016433637589216232, 0.0031320236157625914, 0.00841530691832304, 0.023838991299271584, 0.012910475954413414, 0.0, 0.0, 0.003473539836704731, 0.0, 0.0, 0.0, 0.0, 0.1040281355381012]"
Surf Coast,"[0.05412527173757553, 0.06885556876659393, 0.06337452679872513, 0.0456138513982296, 0.010303301736712456, 0.0, 0.0, 0.0, 0.0, 0.03509973734617233, 0.0, 0.0, 0.0793696790933609, 0.0, 0.048775989562273026, 0.07876360416412354, 0.0, 0.0, 0.0, 0.0, 0.019578907638788223, 0.0, 0.11470658332109451, 0.0, 0.06619410216808319, 0.013755302876234055, 0.013491791673004627, 0.016205960884690285, 0.0, 0.0, 0.07001502066850662, 0.020922817289829254, 0.027220742776989937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15362723171710968]"
Sutherland Shire,"[0.021417289972305298, 0.0, 0.005909713916480541, 0.0, 0.0, 0.0, 0.016323307529091835, 0.13323324918746948, 0.011858479119837284, 0.09163094311952591, 0.03946751728653908, 0.0, 0.07708662003278732, 0.04984639957547188, 0.10730773955583572, 0.036052726209163666, 0.0, 0.0, 0.02571723610162735, 0.0015663779340684414, 0.009819150902330875, 0.0009762743720784783, 0.027300970628857613, 0.07446152716875076, 0.193324014544487, 0.0, 0.006612631492316723, 0.006144019775092602, 0.0, 0.0, 0.002030650619417429, 0.0, 0.0018310567829757929, 0.0, 0.0, 0.0, 0.017416734248399734, 0.007983754388988018, 0.0223588515073061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012322751805186272, 0.0, 0.0, 0.0]"
Swan,"[0.004998310003429651, 0.008722668513655663, 0.005206302274018526, 0.0017874321201816201, 0.010952083393931389, 0.0, 0.05327197536826134, 0.02154018171131611, 0.004049346316605806, 0.012876010499894619, 0.03856303542852402, 0.005953773856163025, 0.00423783902078867, 0.02334711328148842, 0.05321347713470459, 0.0, 0.003964849282056093, 0.019889244809746742, 0.023893091827630997, 0.03519616276025772, 0.014663442969322205, 0.003548865206539631, 0.0017159348353743553, 0.0, 0.016684865579009056, 0.18087512254714966, 0.04645373299717903, 0.0, 0.0023529105819761753, 0.025680523365736008, 0.0, 0.0, 0.0019694252405315638, 0.002931388560682535, 0.0008384681423194706, 0.013779476284980774, 0.0023204118479043245, 0.0, 0.0, 0.045452773571014404, 0.028072433546185493, 0.0, 0.001975924940779805, 0.009067155420780182, 0.0, 0.04808517172932625, 0.025375036522746086, 0.0, 0.0, 0.19649402797222137]"
Swan Hill,"[0.01235867664217949, 0.007277887314558029, 0.011534764431416988, 0.0, 0.027417952194809914, 0.0, 0.0, 0.0, 0.019773881882429123, 0.0, 0.0, 0.0, 0.013914953917264938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03995972126722336, 0.012450221925973892, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09323934465646744, 0.25815901160240173, 0.011305900290608406, 0.018492242321372032, 0.025175081565976143, 0.0, 0.0, 0.022428708150982857, 0.3074564039707184, 0.0, 0.0, 0.0, 0.0, 0.019178833812475204, 0.0, 0.0, 0.049022749066352844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0508536659181118]"
Sydney,"[0.0, 0.0, 0.0, 0.18579378724098206, 0.0, 0.0, 0.0, 0.0, 0.06688877940177917, 0.0, 0.0, 0.0, 0.0, 0.021922403946518898, 0.0, 0.0, 0.010504093021154404, 0.0, 0.03078184649348259, 0.010857528075575829, 0.0, 0.004490982741117477, 0.016682138666510582, 0.15170378983020782, 0.005113028455525637, 0.0, 0.0, 0.0, 0.0, 0.002125323284417391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014999788254499435, 0.01700729876756668, 0.31936872005462646, 0.0, 0.0, 0.0, 0.0, 0.00420823460444808, 0.11649694293737411, 0.0, 0.0, 0.004146972671151161, 0.01690833829343319, 0.0]"
Tablelands,"[0.08284451812505722, 0.218138188123703, 0.08379675447940826, 0.0, 0.03111906722187996, 0.010626952163875103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012379066087305546, 0.04380284994840622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018473375588655472, 0.0, 0.0, 0.003123333677649498, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08771996945142746, 0.0, 0.0, 0.0, 0.13239887356758118, 0.0, 0.022663213312625885, 0.0, 0.14275920391082764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10074654966592789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009408090263605118]"
Tammin,"[0.0, 0.0, 0.20000000298023224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.800000011920929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tamworth Regional,"[0.028431281447410583, 0.12405098974704742, 0.060314930975437164, 0.0, 0.003874152433127165, 0.0, 0.0034679914824664593, 0.0, 0.010497703216969967, 0.0, 0.0, 0.0012653481680899858, 0.06712593883275986, 0.04716155678033829, 0.0, 0.04678663983941078, 0.0, 0.0, 0.07164058089256287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1362045854330063, 0.058893367648124695, 0.04397475719451904, 0.17358702421188354, 0.01513731386512518, 0.033758241683244705, 0.03314900025725365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03682006895542145, 0.003858530893921852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tasman,"[0.2671785056591034, 0.0, 0.11746641248464584, 0.0, 0.4909788966178894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09673704206943512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027639156207442284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tatiara,"[0.0, 0.0, 0.02145860530436039, 0.0, 0.0, 0.0, 0.0, 0.05843120068311691, 0.0, 0.10004349797964096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11236769706010818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025808323174715042, 0.0, 0.452515572309494, 0.0, 0.10975786298513412, 0.030158039182424545, 0.03653762489557266, 0.0, 0.052921559661626816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tea Tree Gully,"[0.01176320668309927, 0.0, 0.016978228464722633, 0.0, 0.0027741561643779278, 0.0, 0.11614205688238144, 0.11454422771930695, 0.0, 0.13383588194847107, 0.016321448609232903, 0.0, 0.033515337854623795, 0.0, 0.03740699589252472, 0.003274092450737953, 0.013008145615458488, 0.010302608832716942, 0.0032936979550868273, 0.0, 0.08436179906129837, 0.0028819856233894825, 0.0, 0.0, 0.0019311264622956514, 0.0154980244114995, 0.1793006807565689, 0.0028721829876303673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006156078074127436, 0.03566212207078934, 0.0, 0.0, 0.0, 0.11206414550542831, 0.0, 0.008175428956747055, 0.0, 0.0, 0.0034701458644121885, 0.03446619585156441, 0.0, 0.0, 0.0]"
Temora,"[0.11717236787080765, 0.030987733975052834, 0.0981278270483017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0560038723051548, 0.47788897156715393, 0.0, 0.21981923282146454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tenterfield,"[0.18069633841514587, 0.5047745108604431, 0.1736447811126709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006610841955989599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059350669384002686, 0.0, 0.0, 0.020273247733712196, 0.0, 0.05464962497353554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
The Hills Shire,"[0.0023848654236644506, 0.0, 0.0037432017270475626, 0.0, 0.01680811680853367, 0.0, 0.004650487564504147, 0.07696375250816345, 0.0, 0.005091169383376837, 0.0016538522904738784, 0.0, 0.0, 0.006288786418735981, 0.0674968734383583, 0.0020115822553634644, 0.0018767854198813438, 0.05233742669224739, 0.0027063037268817425, 0.030381111428141594, 0.0, 0.001529424567706883, 0.03946952149271965, 0.001788649125955999, 0.08738458156585693, 0.03136616572737694, 0.006532457657158375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.176298588514328, 0.024315258488059044, 0.012048754841089249, 0.0, 0.0, 0.0, 0.01241166889667511, 0.041750699281692505, 0.0, 0.07044684886932373, 0.10944976657629013, 0.06969510018825531, 0.04111818969249725, 0.0]"
Three Springs,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tiwi Islands,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Toodyay,"[0.0, 0.1736956536769867, 0.04891304299235344, 0.0, 0.07934782654047012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08456521481275558, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06782608479261398, 0.0, 0.5456521511077881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Toowoomba,"[0.022271573543548584, 0.03718624264001846, 0.02982359565794468, 0.0010099966311827302, 0.005457425024360418, 0.0025192531757056713, 0.006369865499436855, 0.0, 0.0012165869120508432, 0.013933363370597363, 0.00645020604133606, 0.00020659022266045213, 0.047928933054208755, 0.02468179352581501, 0.004728620871901512, 0.07200243324041367, 0.0, 0.006507592275738716, 0.081723652780056, 0.0, 0.005956684704869986, 0.0018765279091894627, 0.010237693786621094, 0.0, 0.010478715412318707, 0.009267867542803288, 0.011391155421733856, 0.16487622261047363, 0.037019822746515274, 0.0037874875124543905, 0.0631362721323967, 0.0286012701690197, 0.0218067467212677, 0.0, 0.0, 0.014472792856395245, 0.07725326716899872, 0.022828219458460808, 0.0, 0.002542207483202219, 0.07553742080926895, 0.018283234909176826, 0.0, 0.0, 0.002582377754151821, 0.0, 0.0, 0.0, 0.0, 0.05404629930853844]"
Torres,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008163264952600002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9918367266654968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Torres Strait Island,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Townsville,"[0.008334975689649582, 0.02288876660168171, 0.013345297425985336, 0.007188722025603056, 0.007188722025603056, 0.0, 0.05532100424170494, 0.002697067568078637, 0.015658551827073097, 0.03796641156077385, 0.002671134192496538, 0.0005705335061065853, 0.01772284507751465, 0.13131606578826904, 0.01431520376354456, 0.12965114414691925, 0.0, 0.0, 0.10095849633216858, 0.002318440703675151, 0.007059055380523205, 0.003765521105378866, 0.0024014273658394814, 0.0203939788043499, 0.009211522527039051, 0.006369228474795818, 0.020840032026171684, 0.1535928100347519, 0.0020176139660179615, 0.007328762207180262, 0.03585543856024742, 0.0, 0.0023599339183419943, 0.009875415824353695, 0.0, 0.006597442086786032, 0.0, 0.03683052957057953, 0.001727160532027483, 0.01281625684350729, 0.022396033629775047, 0.003252041060477495, 0.0, 0.0, 0.02220412716269493, 0.0012655470054596663, 0.0, 0.0, 0.0, 0.041726745665073395]"
Towong,"[0.10661192238330841, 0.2416820079088211, 0.06682712584733963, 0.033413562923669815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08367548882961273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.467789888381958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Trayning,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tumby Bay,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06699834018945694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8321724534034729, 0.0, 0.10082918405532837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tweed,"[0.04310866817831993, 0.044063445180654526, 0.17992916703224182, 0.034084491431713104, 0.007525281049311161, 0.0, 0.008356860838830471, 0.012401827611029148, 0.008172065019607544, 0.007299419958144426, 0.0, 0.00035932447644881904, 0.0716390311717987, 0.0, 0.004619886167347431, 0.026764540001749992, 0.0, 0.0, 0.06065396964550018, 0.0, 0.09286997467279434, 0.0010061084758490324, 0.021487602964043617, 0.0, 0.014208716340363026, 0.008274729363620281, 0.034690212458372116, 0.09866023063659668, 0.0027924643363803625, 0.0, 0.12432626634836197, 0.01275088544934988, 0.0, 0.0, 0.0, 0.050541553646326065, 0.0, 0.0, 0.0, 0.005400133319199085, 0.0, 0.02401314117014408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Unincorporated ACT,"[0.0, 0.002704185899347067, 0.006148882210254669, 0.002856255043298006, 0.0, 0.0, 0.05489695817232132, 0.06888952106237411, 0.017161773517727852, 0.10885725915431976, 0.08671686798334122, 0.0, 0.001668352633714676, 0.05703694373369217, 0.10752830654382706, 0.0026336610317230225, 0.0024749801959842443, 0.030297020450234413, 0.02801598235964775, 0.0019460441544651985, 0.0019306167960166931, 0.004412208683788776, 0.0029025368858128786, 0.029292041435837746, 0.07700207829475403, 0.044855985790491104, 0.010098272003233433, 0.0, 0.0, 0.0010402409825474024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009212304139509797, 0.01567634381353855, 0.016659284010529518, 0.021340368315577507, 0.0, 0.0, 0.0, 0.005064563360065222, 0.004229284822940826, 0.08591905981302261, 0.03589713200926781, 0.019453829154372215, 0.0, 0.016430078074336052, 0.027041858062148094]"
Unincorporated NSW,"[0.0, 0.37117472290992737, 0.43928924202919006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003948667552322149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18558736145496368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Unincorporated NT,"[0.0, 0.016926562413573265, 0.0, 0.0, 0.0, 0.11622017621994019, 0.0, 0.05624416843056679, 0.0, 0.0, 0.0, 0.0005331200663931668, 0.0, 0.038784485310316086, 0.0, 0.0, 0.0, 0.04678128659725189, 0.48607224225997925, 0.0, 0.0, 0.05277888849377632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05291216820478439, 0.07437025010585785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03545248508453369, 0.0, 0.0, 0.0, 0.022924164310097694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Unincorporated SA,"[0.0, 0.036773793399333954, 0.04017305374145508, 0.0, 0.0, 0.22187885642051697, 0.0, 0.041718170046806335, 0.0, 0.0, 0.0, 0.007262052036821842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02039555087685585, 0.0, 0.0, 0.014678615145385265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4179542660713196, 0.0, 0.0, 0.04017305374145508, 0.0, 0.07524722069501877, 0.08374536782503128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Unincorporated Vic,"[0.0, 0.4167507588863373, 0.10797174274921417, 0.0, 0.0, 0.06828119605779648, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0171543899923563, 0.09855365008115768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04305415228009224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2482341080904007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Unley,"[0.012344401329755783, 0.0, 0.023084288462996483, 0.02352423593401909, 0.0, 0.0, 0.0, 0.011309230700135231, 0.014699412509799004, 0.12636835873126984, 0.09257006645202637, 0.0, 0.0, 0.029347065836191177, 0.0, 0.0, 0.026992054656147957, 0.0, 0.009471804834902287, 0.0, 0.0, 0.0, 0.022954892367124557, 0.23412954807281494, 0.11283352226018906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018296627327799797, 0.2108382284641266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020444605499505997, 0.0, 0.01079164631664753, 0.0, 0.0, 0.0]"
Upper Gascoyne,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5549132823944092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4450867176055908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Upper Hunter Shire,"[0.054492510855197906, 0.21270105242729187, 0.018441487103700638, 0.019897393882274628, 0.0, 0.015044370666146278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01601497456431389, 0.0, 0.0, 0.07931225746870041, 0.0, 0.0, 0.036882974207401276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12465335428714752, 0.02003605104982853, 0.0, 0.13207155466079712, 0.045965056866407394, 0.22448696196079254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
